system:index,Aspect,Aspect_Cos,Aspect_Sin,B11,B11_B12_NormDiff,B12,B2,B3,B4,B4_B2_NormDiff,B5,B6,B7,B8,B8A,B8_B12_NormDiff,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,latitude,longitude,tile,.geo
5805,168.0,-0.9781476,0.20791169,0.1726,0.06823456,0.15055,0.5266,0.51985,0.51305,-0.013033233,0.52375,0.523,0.51165,0.50195,0.49165,0.53854406,1.145702,4673.0,0.34379047,0.9740839,0.53854406,0.48825142,-0.031613156,-0.01093596,0.97817403,3.331895,0.9867295,0.331955,0.34379047,0.8717429,0.3363539,3.0,-10.941514,-3.7021906,7.2393236,30.497803895857754,94.81717823881549,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.81717823881549,30.497803895857754]}"
5806,148.0,-0.8480481,0.52991927,0.08985,-0.0022209883,0.09025,0.7621,0.76705,0.7751,0.008456934,0.78445,0.76745,0.7454,0.7291,0.7151,0.77970344,0.99446595,4561.0,0.123217225,1.0169247,0.77970344,0.7805727,-0.046247207,-0.03058104,0.9405315,8.069729,1.010363,0.117121816,0.123217225,1.0033352,0.115905575,3.0,-12.365921,-2.8730602,9.492861,30.497803895857754,94.90700976722745,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.90700976722745,30.497803895857754]}"
5807,224.0,-0.7193398,-0.6946584,0.0695,-0.018014835,0.07205,0.6563,0.6275,0.5994,-0.04531337,0.5936,0.57555,0.5598,0.54775,0.5302,0.76750565,0.96327096,5059.0,0.12685955,0.9131627,0.76750565,0.77480763,-0.056415733,-0.045024626,0.91367805,7.5918226,0.9550669,0.11073933,0.12685955,1.0352012,0.11592994,2.0,-15.876148,-11.693666,4.1824813,30.497803895857754,94.9968412956394,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.9968412956394,30.497803895857754]}"
5808,177.0,-0.9986295,0.052335955,0.1281,0.032440055,0.12005,0.81805,0.8191,0.8159,-0.0013158297,0.81855,0.7949,0.7658,0.7506,0.72975,0.72422904,1.0661672,4716.0,0.17064074,0.9972499,0.72422904,0.7084329,-0.057353225,-0.041685287,0.9198529,6.247191,0.9959717,0.15637207,0.17064074,0.9364275,0.1569853,2.0,-9.612032,0.3171347,9.929167,30.497803895857754,95.08667282405135,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.08667282405135,30.497803895857754]}"
5809,128.0,-0.6156615,0.7880108,0.0854,-0.031746034,0.091,0.86515,0.8641,0.8643,-4.9148576E-4,0.8722,0.85155,0.82835,0.80815,0.79655,0.7975866,0.9374314,4700.0,0.10566038,0.998902,0.7975866,0.8088523,-0.045333333,-0.0335735,0.934926,8.871021,1.0001158,0.09881972,0.10566038,1.0643275,0.09879685,2.0,-11.737594,-3.811221,7.9263725,30.497803895857754,95.26633588087525,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.26633588087525,30.497803895857754]}"
5810,207.0,-0.8910065,-0.4539905,0.0947,-0.029464515,0.10045,0.83655,0.8102,0.79195,-0.027387166,0.7957,0.777,0.7582,0.7491,0.73305,0.76352185,0.94181997,5072.0,0.1264015,0.94657266,0.76352185,0.7755392,-0.040981192,-0.027805718,0.9457736,7.450025,0.97735405,0.11687029,0.1264015,1.0595992,0.11956316,1.0,-11.964467,-5.311158,6.653309,30.497803895857754,95.35616740928721,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.35616740928721,30.497803895857754]}"
5811,148.0,-0.8480481,0.52991927,0.09,-0.024654565,0.09455,0.79865,0.7892,0.7876,-0.006966115,0.7905,0.7764,0.754,0.74685,0.72755,0.7752555,0.95087165,4764.0,0.12048999,0.9860407,0.7752555,0.7849077,-0.041467674,-0.026556747,0.94814014,7.89065,0.9978462,0.114025086,0.12048999,1.0493896,0.114256695,1.0,-11.330287,-0.49564883,10.834639,30.497803895857754,95.44599893769916,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.44599893769916,30.497803895857754]}"
5812,198.0,-0.95105654,-0.309017,0.1247,0.05677966,0.1113,0.71025,0.6976,0.6959,-0.01020517,0.704,0.6947,0.6796,0.6734,0.66285,0.7163247,1.1193895,4968.0,0.18515219,0.9796579,0.7163247,0.6875078,-0.030105717,-0.016431753,0.96752876,6.0448833,0.9974201,0.17873012,0.18515219,0.8918269,0.17916666,2.0,-14.128839,-1.4562106,12.672628,30.497803895857754,95.53583046611111,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.53583046611111,30.497803895857754]}"
5813,314.0,0.6946584,-0.7193398,0.1132,-0.023295945,0.1186,0.6909,0.69235,0.6951,0.003030303,0.69845,0.68695,0.67335,0.6694,0.655,0.69898474,0.9536647,4895.0,0.1690814,1.0059334,0.69898474,0.7107079,-0.032103144,-0.018834738,0.96288836,5.639427,1.003827,0.16347751,0.1690814,1.0467784,0.16283084,0.0,-16.60674,-4.3652725,12.241467,30.497803895857754,95.62566199452306,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.62566199452306,30.497803895857754]}"
5814,53.0,0.60181504,0.7986355,0.14285,0.014559659,0.13875,0.6759,0.6894,0.70225,0.019119835,0.70685,0.69355,0.67395,0.66715,0.64815,0.6556645,1.0288081,4841.0,0.21408768,1.0388314,0.6556645,0.647284,-0.043321032,-0.025631664,0.94988257,4.8048253,1.0184916,0.20717911,0.21408768,0.9706191,0.20338863,1.0,-15.676007,-5.626245,10.049763,30.497803895857754,95.715493522935,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.715493522935,30.497803895857754]}"
