longitude,latitude,age,supergroup,group_name,formation,lithologic,sub_group,intrusive,stratigraphy_new
81.18875500434409,22.093631203290325,PALAEOPROTEROZOIC - MESOPROTEROZOIC,,,,,,,
80.90746332096558,21.71244847601048,PALAEOPROTEROZOIC - MESOPROTEROZOIC,,,,,,,
80.79683499077981,22.03952884738532,PALAEOPROTEROZOIC - MESOPROTEROZOIC,,,,,,,
81.08179475517858,19.493760878958895,PALAEOPROTEROZOIC - MESOPROTEROZOIC,,,,,,,
78.60415082436171,26.167870337904258,PALAEOPROTEROZOIC - MESOPROTEROZOIC,,,,,,,
74.01956706859649,33.52701616684211,MESOPROTEROZOIC,,,,,,,
74.04950356583333,33.4120466875,MESOPROTEROZOIC,,,,,,,
74.7062087710561,33.15145454003301,MESOPROTEROZOIC,,,,,,,
77.22886250846155,31.792245659743593,PALAEOPROTEROZOIC,,,,,,,
77.05653331586534,31.26924284766714,MESOPROTEROZOIC,,,,,,,
86.40269526819445,25.140577283333332,MESOPROTEROZOIC,,,,,,,
75.32465675870611,24.84939250920026,MESOPROTEROZOIC,VINDHYAN,,,,,,
74.98564233489103,24.473381554150638,MESOPROTEROZOIC,VINDHYAN,,,,,,
85.33067366260711,24.943273174528763,MESOPROTEROZOIC,,,,,,,
76.02889443949731,24.670587623321364,MESOPROTEROZOIC,VINDHYAN,,,,,,
82.67221114898932,24.495114132693033,MESOPROTEROZOIC,VINDHYAN,,,,,,
75.0089409172,24.1137250442,MESOPROTEROZOIC,VINDHYAN,,,,,,
78.93396292667575,18.990634852506812,NEOPROTEROZOIC,,,,,,,
80.5273486169252,18.639062260326117,MESOPROTEROZOIC,PAKHAL/ ALBAKA,,,,,,
80.70726078439999,17.812815715125,MESOPROTEROZOIC,PAKHAL,,,,,,
80.0219203246875,16.645355045729165,MESOPROTEROZOIC,CUDDAPAH,,,,,,
79.10273139491207,16.41877059827572,MESOPROTEROZOIC,CUDDAPAH,,,,,,
79.17998201068124,15.742464784158617,MESOPROTEROZOIC,CUDDAPAH,,,,,,
78.89039774865772,15.626104532013423,MESOPROTEROZOIC,CUDDAPAH,,,,,,
78.07161297428654,15.307023334228305,MESOPROTEROZOIC,CUDDAPAH,,,,,,
79.09324147472222,15.491037953611112,MESOPROTEROZOIC,CUDDAPAH,,,,,,
79.10825415351351,15.396248277837838,MESOPROTEROZOIC,CUDDAPAH,,,,,,
78.93606668130435,15.45144834173913,MESOPROTEROZOIC,CUDDAPAH,,,,,,
78.74906866787879,14.89294065621212,MESOPROTEROZOIC,CUDDAPAH,,,,,,
78.18506267761539,15.00198561523077,MESOPROTEROZOIC,CUDDAPAH,,,,,,
79.07109461760766,14.059716077799044,MESOPROTEROZOIC,CUDDAPAH,,,,,,
79.82777123567011,13.587629745422682,MESOPROTEROZOIC,CUDDAPAH,,,,,,
79.64403839272727,13.542475388989898,MESOPROTEROZOIC,CUDDAPAH,,,,,,
77.70975501897445,31.594953921960098,PALAEOPROTEROZOIC,,,,,,,
79.00980112562351,30.335862549156364,MESOPROTEROZOIC,,,,,,,
79.2809218295204,19.08852408433157,NEOPROTEROZOIC,,,,,,,
82.2173360599087,21.471385896789652,MESOPROTEROZOIC - NEOPROTEOZOIC,CHHATTISGARH,,,,,,
82.37335891368842,20.500168871941053,MESOPROTEROZOIC - NEOPROTEOZOIC,CHHATTISGARH,,,,,,
81.72635411980067,18.425124547400337,MESOPROTEROZOIC - NEOPROTEOZOIC,CHHATTISGARH,,,,,,
75.06549171419178,16.037343100058425,NEOPROTEROZOIC,KALADGI,,,,,,
73.76760489511173,16.425151963047796,NEOPROTEROZOIC,KALADGI,,,,,,
73.49360559317724,16.35003660679395,CENOZOIC,,,,,,,
80.36395626438203,30.49185973848315,ORDOVICIAN - DEVONIAN,,,,,,,
79.6204884920979,20.621395852604895,NEOPROTEROZOIC,,,,,,,
79.39063488729751,20.294341558800152,NEOPROTEROZOIC,,,,,,,
78.80520776079332,20.255994814843426,NEOPROTEROZOIC,,,,,,,
78.89992736080188,20.136360498679245,NEOPROTEROZOIC,,,,,,,
79.03597967109756,18.93581743904878,NEOPROTEROZOIC,,,,,,,
79.55621532983922,18.52586350846731,NEOPROTEROZOIC,,,,,,,
79.58224614848204,16.624310904965686,NEOPROTEROZOIC,,,,,,,
93.57923865363637,8.074388862272727,MIOCENE - PLIOCENE,,,,,,,
76.80518009455517,8.652072559217082,QUATERNARY,,,,,,,
93.44739785727273,7.903435483636364,MIOCENE - PLIOCENE,,,,,,,
75.78687689891304,32.607087451521735,MIOCENE - PLIOCENE,,,,,,,
71.88508259030303,25.960566859696968,NEOPROTEROZOIC,MALANI IGNEOUS SUITE,,,,,,
71.87333021486486,26.023385523243242,NEOPROTEROZOIC,MALANI IGNEOUS SUITE,,,,,,
73.11870759913462,25.690348025288465,NEOPROTEROZOIC,MALANI IGNEOUS SUITE,,,,,,
78.20183159325,19.1408118185,LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,,,,,,
77.4070615402407,31.860948635909185,PROTEROZOIC,,,,,,,
78.65800972530303,31.88136284121212,TERTIARY,,,,,,,
78.79302386379729,31.300876562061813,NEOPROTEROZOIC,,,,,,,
78.71062980210647,31.463060029314835,ORDOVICIAN - SILURIAN,,,,,,,
77.26959322954926,31.096141943976203,NEOPROTEROZOIC,,,,,,,
77.1316477336147,31.056612507901765,NEOPROTEROZOIC,,,,,,,
77.04398906679246,26.669491360566038,PALAEOPROTEROZOIC,BHILWARA,,,,,,
75.30765981669877,24.95975933823993,MESOPROTEROZOIC - NEOPROTEOZOIC,VINDHYAN,,,,,,
80.28218021106355,24.21551527763248,NEOPROTEROZOIC,VINDHYAN,,,,,,
78.85558763588968,23.985546117651246,MESOPROTEROZOIC - NEOPROTEOZOIC,VINDHYAN,,,,,,
76.24367852530544,22.271152948088233,MESOPROTEROZOIC - NEOPROTEOZOIC,VINDHYAN,,,,,,
75.0653708669195,35.33010508428238,CRETACEOUS - TERTIARY,,,,,,,
75.83659779696296,34.37407261622223,NEOPROTEROZOIC,,,,,,,
77.38073183667774,30.710529214019935,NEOPROTEROZOIC,,,,,,,
77.5768724009072,30.634006455917525,NEOPROTEROZOIC,,,,,,,
72.7972606719697,27.110877245151514,NEOPROTEROZOIC - EARLY CAMBRIAN,MARWAR,,,,,,
73.49125546035714,26.98457350142857,NEOPROTEROZOIC - EARLY CAMBRIAN,MARWAR,,,,,,
73.78109118081315,26.90126350397059,NEOPROTEROZOIC - EARLY CAMBRIAN,MARWAR,,,,,,
77.22019923352237,26.56729071218065,NEOPROTEROZOIC,VINDHYAN,,,,,,
73.052213825,26.72374102772727,NEOPROTEROZOIC - EARLY CAMBRIAN,MARWAR,,,,,,
77.43426254909092,26.913780488181818,NEOPROTEROZOIC,VINDHYAN,,,,,,
73.735789255,26.751610418170728,NEOPROTEROZOIC - EARLY CAMBRIAN,MARWAR,,,,,,
73.59154665704546,26.626257532500002,NEOPROTEROZOIC - EARLY CAMBRIAN,MARWAR,,,,,,
72.5077127009836,26.45055331327869,NEOPROTEROZOIC - EARLY CAMBRIAN,MARWAR,,,,,,
73.71049930568182,26.047659477954543,NEOPROTEROZOIC - EARLY CAMBRIAN,MARWAR,,,,,,
77.70390537675,23.143648384,NEOPROTEROZOIC,VINDHYAN,,,,,,
74.16677379679487,36.76625831358974,PALAEOZOIC,,,,,,,
73.39457029130435,36.61186372956522,PALAEOZOIC,,,,,,,
74.84655269654762,36.48210449285715,PALAEOZOIC,,,,,,,
73.75042558420925,36.289159376715325,PALAEOZOIC,,,,,,,
75.6170204756129,35.85835909974194,PALAEOZOIC,,,,,,,
75.54588911495574,35.25979843654867,PALAEOZOIC,,,,,,,
75.5062918515625,34.9422177165625,PALAEOZOIC,,,,,,,
75.62637066330302,36.13454562521213,PALAEOZOIC,,,,,,,
79.13302013889654,31.289765356505747,ORDOVICIAN - DEVONIAN,,,,,,,
77.516705488375,30.655864104916667,CAMBRIAN,,,,,,,
75.09567330211864,36.57070539923728,CARBONIFEROUS- PERMIAN,,,,,,,
75.88685261214286,36.50833637452381,CARBONIFEROUS- PERMIAN,,,,,,,
76.7193398437415,35.91992105323129,CARBONIFEROUS- PERMIAN,,,,,,,
76.56074775133334,36.16921566177778,CARBONIFEROUS- PERMIAN,,,,,,,
76.2049779431624,36.08769690905983,CARBONIFEROUS- PERMIAN,,,,,,,
85.18556235610556,20.94638745701111,LATE CARBONIFEROUS - PERMIAN,GONDWANA,,,,,,
84.01990375311054,21.325833455861183,ARCHAEAN - PROTEROZOIC,EASTERN GHAT,,,,,,
79.18404052961853,20.044928926144415,LATE CARBONIFEROUS - PERMIAN,GONDWANA,,,,,,
79.40617563394595,19.62238694445946,LATE CARBONIFEROUS - PERMIAN,GONDWANA,,,,,,
80.85007362500001,17.692830034,LATE CARBONIFEROUS - PERMIAN,GONDWANA,,,,,,
80.48640786875,17.250258598839284,LATE CARBONIFEROUS - PERMIAN,GONDWANA,,,,,,
79.0029744370339,35.606718455042376,CARBONIFEROUS,,,,,,,
78.68543219715151,35.343939029151514,CARBONIFEROUS,,,,,,,
79.59072124119403,35.422261787014925,CARBONIFEROUS,,,,,,,
80.00509058148148,35.25877576123457,CARBONIFEROUS,,,,,,,
79.81358889038096,34.83429954247619,CARBONIFEROUS,,,,,,,
78.84922880200001,33.61749621109091,CARBONIFEROUS,,,,,,,
78.77997063588907,22.23360135507341,LATE  PERMIAN,GONDWANA,,,,,,
84.52721726244445,24.442096849777776,LATE CARBONIFEROUS - PERMIAN,GONDWANA,,,,,,
83.06746742787729,23.56965600802454,LATE CARBONIFEROUS - PERMIAN,GONDWANA,,,,,,
74.50561716543379,36.53115346917808,CARBONIFEROUS - TRIASSIC,,,,,,,
